"","n","s","b_(Intercept)","b_condition_c","b_trial0_c","b_size0_c","b_condition_c:trial0_c","b_condition_c:size0_c","b_trial0_c:size0_c","b_condition_c:trial0_c:size0_c","t_id.(Intercept)","t_id.trial0_c","t_id.trial0_c.(Intercept)","p_(Intercept)","p_condition_c","p_trial0_c","p_size0_c","p_condition_c:trial0_c","p_condition_c:size0_c","p_trial0_c:size0_c","p_condition_c:trial0_c:size0_c"
"1",50,1,0.282356046644373,0.178868752697474,-0.289722357002352,20.7139922947285,0.618709334626946,-1.55829655743988,1.551525384463,1.9453133286972,1.73537415717967,2.82283507154958,-0.0807714971579861,0.133883550781243,0.634939480173442,0.23243444285221,0,0.20229960135146,0.0131490988830771,0.0018110719794057,0.0505031599927364
"2",50,2,-0.238963417326791,0.465075148209424,0.187464440590681,20.8755795718529,-0.789662150978318,-1.14573887914342,1.77683689496402,2.3644728855063,1.80219743643949,1.33794052068581,0.0738718926612835,0.2130644129606,0.225627383123491,0.272627884739972,0,0.020858925167284,0.0745979343874618,0.000728212140589252,0.0245715384107189
"3",50,3,0.110817147217405,0.0479642857479527,-0.444098725736356,20.4965521005706,0.442849635433208,-0.266214054896905,1.96561373777504,1.73783017813361,1.71597057002262,2.12876619216925,-0.0259933925561545,0.553958358845676,0.898084885819459,0.0361097982098352,0,0.296070468404014,0.665692201320603,6.66739809707348e-05,0.0779237850429169
"4",50,4,-0.106523481175502,-0.0710818077231611,-0.316380260800238,20.7644471011697,0.136003199627557,-0.854319934900977,1.32762832459741,1.59215753436439,1.71121424284366,2.83188273136465,0.0641459452563868,0.568941014823414,0.849271928408331,0.192668887505856,0,0.779475403519954,0.180223107796058,0.00905830897828589,0.117599801436596
"5",50,5,0.0281332324106366,-0.44072056462838,-0.582066601233514,21.4836955852598,-1.03595182603148,-0.705797227946033,1.56417496477765,1.94824012664155,1.24002505728233,2.03638230219149,-0.244438727618341,0.860391464704861,0.168329951970868,0.00510740497253806,0,0.012707763023174,0.289878439254179,0.0033717728757374,0.0678901478165746
"6",50,6,0.142040981410854,-0.323156873162137,0.048018188403958,21.1736823484769,-0.245817125023885,-0.588694270336099,3.32506152137562,2.1700010760246,1.47637796457171,2.03670709029316,0.369625001049703,0.41442914088065,0.353210286226439,0.817071754981896,0,0.55380088996893,0.367795859948949,2.0782068003131e-10,0.0380936587074766
"7",50,7,-0.173508031210884,-0.332603875999337,-0.327668089802599,21.0938258762658,0.332437966355272,0.0979852070789075,2.04282589500572,1.45312317362863,1.16073398569316,1.56958598780916,-0.0428097542286925,0.262452185076646,0.282789976574212,0.0744860179982386,0,0.365576497906739,0.87984437027842,0.000123033646455233,0.172016216826563
"8",50,8,0.133032429894897,0.0746684482161764,0.0508619855479402,21.5621861392254,0.372161089355914,-1.18405272104222,2.27121855089353,0.440099687793635,0.967823254393659,2.26102456577946,-0.167964573417071,0.348318842330711,0.792396664330401,0.815691739948336,0,0.393788106579213,0.0766418706500532,2.30672111519779e-05,0.681723673868242
"9",50,9,0.14255601877312,-0.344222540183993,-0.400272240928,20.4380822457714,0.716555158389891,0.341354654843582,1.14802703303152,2.53156603771305,1.45879965410674,2.83812708237245,0.0829575294915745,0.409935662194815,0.319812597540633,0.099721767896685,0,0.140618395254436,0.579358993730802,0.0183020627822002,0.00928267264713033
"10",50,10,-0.144437345958573,-0.128814700674725,-0.458584232885827,21.1406360934535,0.556327971789711,-0.510142412689111,2.24448983756836,2.09757642825438,1.1363991765488,1.96385809134156,0.00369181617315928,0.346038007133144,0.674346399765656,0.0246580193717862,0,0.172947202981596,0.433048054653955,1.83308324897359e-05,0.045291262037044
