,comp,b,ci_lb,ci_ub,p
0,a_TF_TM,0.15802510898766622,0.06375388281694823,0.25402979772403067,0.99875
1,a_S_C,-0.07691276253714234,-0.1763996938397581,0.01651564917731587,0.0495
2,v_TF_TM,-0.8625906119847844,-1.1367609379473653,-0.587784273758902,0.0
3,v_S_C,-0.03352502893108056,-0.3265882434127524,0.216057367005823,0.45975
4,t_TF_TM,-0.006600193856892871,-0.013217504722558383,1.80056863356524e-05,0.02525
5,t_S_C,0.004348308632906441,-0.002147692839252786,0.011433159794189768,0.91125
