,mean,std,2.5q,25q,50q,75q,97.5q,mc err,p_err,geweke,P
z,0.4839941532191841,0.0027090357712007632,0.47880974737058657,0.4821631086106761,0.48396142536966164,0.4858023943852171,0.48925480576902103,8.778924020865637e-05,0.03240608379628163,0.12425819686529022,0.0
z_std,0.12830934532393082,0.008017044566865963,0.11374427506765505,0.12267444757238544,0.12802350111093688,0.13344788038266794,0.14478048099418342,0.0003111345179822064,0.03880912914817881,-0.06500426912955344,0.0
z_subj.55883b3efdf99b4021921cb9,0.4665334840968577,0.013775874526885867,0.4391519899927108,0.4573319997434271,0.4669309108110547,0.4758802696866303,0.49254642085221134,0.0005340006454617035,0.038763466117487794,0.13876187848943616,0.0
z_subj.55b211e5fdf99b10d87b65f1,0.44024779541003095,0.01025667337766378,0.4202235310750865,0.43317039864325146,0.44042026621597674,0.44748094066983873,0.46002734856003485,0.0004226164067193459,0.04120404259335083,0.07254400953715984,0.0
z_subj.56f2319af2df32000d8fb1a4,0.48292544158297873,0.009339073817700562,0.4649364814957068,0.4767020867979407,0.4829088746466944,0.4891608401346846,0.5011755640503845,0.0003388480678271291,0.03628283429829011,0.061709253765446864,0.0
z_subj.578b5756160201000103fe40,0.49782634985883534,0.00898089922703496,0.48083152496407083,0.49180430177808676,0.49784474448184435,0.5040631157727049,0.5155798273592845,0.0003070173636692208,0.034185592768373865,-0.017380762837086724,0.0
z_subj.580520305babd200014111e9,0.5082142417855625,0.012268076479751783,0.4837588317998858,0.5004024942262782,0.508109575583889,0.5161760347552528,0.5325431143146266,0.00041935777086967807,0.03418284615048005,0.04394285759412487,0.0
z_subj.58ae59babb9e0f0001acb414,0.46758146030480446,0.009388980082352316,0.44856407027611345,0.46119208243387366,0.46779150278166365,0.47449322676747663,0.485265604579822,0.0004139465939876537,0.044088558113539365,-0.07737734223548898,0.0
z_subj.59306fc35f170a00014358da,0.4705452371637037,0.009472041392836738,0.4518924307197447,0.46412870708727694,0.4709536231232023,0.4771347643284388,0.4884768741015851,0.0003199765601117707,0.03378116150904429,0.08859192519847414,0.0
z_subj.597d52463358830001cad7cf,0.49775558801181957,0.00877880605839465,0.4807610204794134,0.49202648811627264,0.49769343767413327,0.5039484172420933,0.5147995803470148,0.00027962982431197175,0.03185283083507448,0.017643212059972924,0.0
z_subj.5a5ec79cacc75b00017aa095,0.4631296225484585,0.008541770251424665,0.44629424254384387,0.45768897119228813,0.4629714465029659,0.4685958082132421,0.48029487098815665,0.0002909128785168232,0.034057680077300416,0.05884726693143307,0.0
z_subj.5acbead40527ba0001c2680a,0.48777338113510954,0.01028514115173041,0.46774745794460865,0.4806818652616133,0.48772954118577905,0.49470683116442077,0.5078060067321789,0.0004222416546646111,0.04105355954143338,0.010641851884825977,0.0
z_subj.5add031edee8590001b02b9c,0.4381570598633338,0.013443152328344306,0.4136892620809075,0.4284329674511564,0.43784515888088177,0.4471720000607194,0.4650925480734824,0.0005070328131739231,0.037716809330864035,0.042167668272423964,0.0
z_subj.5afd7a1b59ae1e00017e5cff,0.5241322049171604,0.010168822270453442,0.5044175065533211,0.5172037929720242,0.5242621077332376,0.5311395258120456,0.5439063484482046,0.00039096418407462777,0.03844734165633068,0.06224916444211083,0.0
z_subj.5b0cff3d641b1200010ef241,0.5379036219468681,0.014250626872368824,0.5094979872236243,0.5287898630879756,0.5377062105332107,0.54756610455569,0.5664934273226915,0.0006431098354933482,0.045128529520361144,-0.129907121382798,0.0
z_subj.5b4991de56e0140001acb76b,0.4653186901706797,0.00908248636514563,0.4479341654678222,0.45928761321917083,0.4654177710633442,0.47147761576890485,0.48317522041768707,0.00030793105896431477,0.033903828377437634,0.06668596045593395,0.0
z_subj.5b4c4e67a23b2d00017f7029,0.46750368858424074,0.012208829537147333,0.44424911348985296,0.45917032749670633,0.4674422984329445,0.47528454226680567,0.49213928076259883,0.000418016838584429,0.034238895490558315,0.10926582546342642,0.0
z_subj.5c0ebe2eac685b0001cb1056,0.4468910435507564,0.010069868861810632,0.42711658748237796,0.44014830488165324,0.446787137819024,0.4538620994502023,0.4667766649624603,0.00037648689421495625,0.037387467441881,0.05430892873061213,0.0
z_subj.5c2b4b959f18a9000179a141,0.5058836374232828,0.008989857685857982,0.4884765496339748,0.49958693812782845,0.5063115763482539,0.5120223875188264,0.5234588188664916,0.0002576968139701033,0.02866528291938239,0.0073011430225391845,0.0
z_subj.5c2fcf0aa945190001be8c68,0.5127109146103644,0.014416315094509899,0.48508484555963144,0.5022696607382942,0.5129881543199591,0.5227467894012153,0.5394396869408539,0.0008847624471090455,0.061372302235956654,-0.21259910665528753,0.0
z_subj.5c3a518e0b5bb30001033afd,0.4712131199866227,0.010090415046911425,0.45201931488203323,0.46421412814538254,0.47127433190642765,0.4782865777545032,0.4910277957549167,0.0004477002601659936,0.044368864718109906,-0.043344553094656,0.0
z_subj.5c4ea7c3889752000156ddc5,0.5072128564570139,0.009532865891827034,0.4885070685499076,0.5007122453844316,0.5071847127682675,0.5138037043338982,0.5257205608439093,0.00031266909016721886,0.03279906522500065,0.10076516136266421,0.0
z_subj.5c98310742270c0014d0287a,0.4739844168062318,0.009386086173622844,0.4553454028044096,0.4678144720014297,0.4736820796121786,0.48045992602051135,0.49287492643373987,0.00039016766267923074,0.04156872795134734,-0.03423522200737353,0.0
z_subj.5cc5aec9ef83da0001cffead,0.4663217203045454,0.008792284333776074,0.4491010887262334,0.46024317651279006,0.4662993540087709,0.47184383444889755,0.48391300106041923,0.00031037994153182414,0.035301399471293425,-0.04564591058626481,0.0
z_subj.5cfecc1e96681500168a1799,0.5004953525972496,0.010820438760600364,0.4783813065775538,0.4934178502465931,0.5005126011262153,0.5080025534566875,0.5213639286493753,0.0004981623421958083,0.04603901498058736,-0.052690726835512514,0.0
z_subj.5d139dc84b4491001a9f7fc2,0.47384004268233504,0.014637297325343383,0.44587279135232233,0.4638604407762296,0.4737135220495612,0.4843085531791517,0.502375929681923,0.0006361875771329233,0.04346345933900053,0.05100052075445823,0.0
z_subj.5d1e2045a37a4d001a1fc2cb,0.5724488694363911,0.011344093032942525,0.5490746277424537,0.5651438785697973,0.5731340709630235,0.579989044796411,0.5941066833446548,0.0005328049297369373,0.0469676093266959,0.18820464368616643,0.0
z_subj.5d2d8b999c6703001525304f,0.47653301740474135,0.01172364349518752,0.4523971050775456,0.46877713144423006,0.4766620052943284,0.4846258183188302,0.4996862329274325,0.00043763619607969494,0.037329367466636273,0.00014883739281368728,0.0
z_subj.5d30dfa68b1523000134878f,0.4689165794553973,0.008678767905210652,0.452445854049643,0.46286292198736717,0.4689513195364137,0.4744692340946459,0.4862307944536329,0.0002864774271774072,0.03300899739528797,-0.048049310542767384,0.0
z_subj.5d4b1c73cfe6e90017ad8990,0.5015148169258706,0.009547378939212606,0.48245295010863043,0.49508226467155275,0.5015773312375209,0.5080712069332468,0.520064484389707,0.00030973635275667756,0.03244202987319808,-0.003670443383169536,0.0
z_subj.5dec22fa26ff0231cee0f007,0.46075990668963174,0.009934243942525916,0.44183630984197403,0.4538852420664537,0.4608343212072636,0.467412182144234,0.48033141488111913,0.00036817355213000606,0.037061054093301536,-0.02593955188139867,0.0
z_subj.5decaac46e09cf3792805023,0.5161807691316027,0.01054253653473911,0.494391883913547,0.5096413300991739,0.516513251525422,0.5234257308462344,0.5359495148689166,0.00048003634353798645,0.0455332871701417,0.02098843710615473,0.0
z_subj.5e2f1e401a4075000d1bee59,0.508906874470057,0.009158515657880702,0.49094416466450097,0.5025853779329091,0.509047101182844,0.5151990711265488,0.5271937440432098,0.00030690458725373223,0.03351029781661699,-0.0048570309252778604,0.0
z_subj.5e455faf462e0802d9d9c3e2,0.5271284577685859,0.01001135850271166,0.5073627457297378,0.5205125385474941,0.5269248219201983,0.5339954633036725,0.5471248463558908,0.0004041288656232789,0.0403670356539342,0.07459131420369688,0.0
z_subj.5e51dfe3618c57215938d7b7,0.4595712492602919,0.008976882689697364,0.44253182326664114,0.45336726572287134,0.45983914711123247,0.4658282583876589,0.47695628675394697,0.00031607513016013817,0.035209898701571866,-0.03715625959446397,0.0
z_subj.5e687fc5651f7d1259eac113,0.4726010273930765,0.008919775237462268,0.45508347100802377,0.4664927535181355,0.4726448731846723,0.47861105176160357,0.49045387710461774,0.0002945822859025243,0.03302575211371972,-0.00496810813840434,0.0
z_subj.5e7d7840f89874402cdb9ebe,0.4804614505594613,0.009306664371310074,0.4613562684362484,0.4744305367344645,0.4803748469521306,0.4868625377344076,0.49852551754353147,0.00030856405245010664,0.033155171406129794,-0.04076229310001817,0.0
z_subj.5eb883cc52bcce7d6fadf5a0,0.47630124821746883,0.010293427072739569,0.45597669349304537,0.46918931142618847,0.47611206630330216,0.4832533570582138,0.4966065084176509,0.0003502035695359376,0.034022057674396276,-0.16592844798454115,0.0
z_subj.5ebb96b6cd673a0008ace9ce,0.46097131795398855,0.008321091056644801,0.44503543426723435,0.4550304620072901,0.461044581410841,0.46656788775170693,0.47724065530749965,0.00028097753833499113,0.033766910663790506,-0.060974112934571854,0.0
z_subj.5ec47b2d91b37736ce88f3d6,0.506118080728655,0.009306580537713783,0.48802331205868854,0.49983631814965496,0.5063069898952918,0.5122792272313278,0.5244001539493847,0.0003542352446970039,0.038062878547228896,-0.05482773047734539,0.0
z_subj.5ec7ec01fc75cf27b5dd16ee,0.4553706768635683,0.008792378869159512,0.43847704567503676,0.4495682274248515,0.45509592437447594,0.46123976563732977,0.4736293451980957,0.00031490612868937133,0.03581580518486848,0.0701137878321664,0.0
z_subj.5ecc0ae50cf6970c228a6bd6,0.5553836342042398,0.010998978407990426,0.5353212132685818,0.5478540893106625,0.5548969844561404,0.5622175852094774,0.579298720776983,0.0005921547668966122,0.05383725150932469,0.007604855547010708,0.0
z_subj.5ed1702b534bdc0c7d215298,0.46172083242266787,0.015155991162701866,0.43128331654083035,0.4516676453350269,0.46149043809664847,0.47181373273530164,0.49255128728858455,0.0007353323932940933,0.04851760504477658,0.16668579374538867,0.0
z_subj.5ed8cf4782a6eb04ddf9962d,0.4899665004177953,0.012482650014374753,0.46736843625217855,0.48105064534792913,0.4896854018436927,0.4983967415472485,0.5148696203141636,0.00041790819303452753,0.03347912442896928,0.08236296305638295,0.0
z_subj.5ee150a384b8a1164fef6273,0.5149570649082996,0.010438926096056698,0.49355803018767974,0.5082239457638765,0.5153161841037923,0.5217574769868717,0.5355957627158336,0.000434018314660976,0.0415769122864972,0.10038226421776406,0.0
z_subj.5eed39d96b25b8147870a324,0.5289277024771041,0.009376090294040205,0.5105882107364312,0.5227636894928123,0.5287691154472842,0.5353196919764861,0.5470830718654646,0.0003527704504145851,0.03762447239216747,0.08742994658386534,0.0
z_subj.5ef3adcd8a92e8136914ca8a,0.4670727155001947,0.011301589272558595,0.44519875164391104,0.4597210299923503,0.46703632613177415,0.47462918709490043,0.48905750651650615,0.0004862032381424397,0.043020784636280354,0.042469726813564784,0.0
z_subj.5efcf906346ca111efac889f,0.4891346070742459,0.013113529225490786,0.46374966270797907,0.4796895331293746,0.489324690685533,0.4981207390541618,0.5146516617121643,0.0004153844722151213,0.03167602443800366,0.025731888910625257,0.0
z_subj.5f230bf8e7c33a062d203d0d,0.5276639865291796,0.015395505954573794,0.49904843255744685,0.5164532111164839,0.527355501617921,0.5384404885203823,0.5594725162753332,0.0007362972043118227,0.047825463254299795,0.010519361772062525,0.0
z_subj.5f3430f7b2ea6115cb8564bb,0.4808520289195547,0.014616944274206525,0.4527618582040021,0.47129520373563805,0.48058267494516627,0.49055503176996657,0.5102975178918064,0.0005555500564812419,0.03800726376590088,0.13233414366598079,0.0
z_subj.5f4d5dcac7c1d116643efed3,0.5292292120593977,0.011791039303089642,0.507204832575044,0.5212997331152102,0.5288846712127392,0.5365294337774815,0.5536088003271561,0.0006093967136074819,0.05168303640950462,-0.07674912213936441,0.0
z_subj.5f4e8db327d2a0098ef31aab,0.4829937101719702,0.009716279715935461,0.46410360813032814,0.4764122679098184,0.4832602476616529,0.4894806782876172,0.5014218252337901,0.00038210851027532057,0.03932662721191863,-0.020972879084224613,0.0
z_subj.5f5aa60bef062519ff711fe6,0.49604562532081076,0.00892042636020519,0.47745310654163475,0.4903856545250911,0.4959372056233166,0.5019476976224412,0.5130215425107193,0.0002952864968853213,0.03310228513321072,-0.06771640321558085,0.0
z_subj.5f62bff03a4958215b85d8bf,0.47661099232801346,0.00874490320825324,0.4595376374125587,0.47046782603009246,0.47675922304706725,0.4826818795815041,0.493309961583963,0.0002730018851858079,0.031218399870698965,0.01283306764682165,0.0
