,0
a_TF_gt_TM,0.99875
a_TF_lt_TM,0.00125
a_S_gt_C,0.0495
a_S_lt_C,0.9505
v_TF_gt_TM,0.0
v_TF_lt_TM,1.0
v_S_gt_C,0.45975
v_S_lt_C,0.54025
t_TF_gt_TM,0.02525
t_TF_lt_TM,0.97475
t_S_gt_C,0.91125
t_S_lt_C,0.08875
